Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Engine Size,Horsepower,Maker_Citroen,Maker_Honda,Maker_Hyundai,Maker_Kia,Maker_Mahindra,Maker_Nissan,Maker_Renault,Maker_Tata,Maker_Toyota,Maker_Volkswagen,Type_Compact SUV,Type_Compact Sedan,Type_Hatchback,Type_MPV,Type_MUV,Type_Mid Size SUV,Type_SUV,Type_Sedan,Type_Sports Car,Fuel_Diesel,Fuel_Petrol,Fuel_Petrol + CNG,Fuel_Petrol Hybrid,Transmission_4 AT,Transmission_5 MT,Transmission_6  iMT,Transmission_6 AT,Transmission_6 MT,Transmission_6 MT with iMT,Transmission_6 TC Automatic,Transmission_6 iMT,Transmission_6-Speed AT,Transmission_6-Speed DCT,Transmission_6-Speed MT,Transmission_7 DCT,Transmission_7-Speed CVT,Transmission_7-Speed DSG,Transmission_7-Speed DSG 4MOTION,Transmission_8 AT,Transmission_AMT,Transmission_CVT,Transmission_DCT,Transmission_IVT,Transmission_MT,Transmission_Single,Transmission_iMT,Drive_2 WD,Drive_2WD,Drive_4 WD,Drive_4WD,Drive_AWD,Emission Type_BS VI,Emission Type_Euro 6
-0.5326065107226267,-0.19901475456619777,-1.0148290597920797,-1.3347949343273722,-1.2257608402290454,-1.2759278193566725,0.33195306515464584,-1.252094082698794,0.42110610910752205,21.0,-0.19901475456619794,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.19901475456619777,0.6868575515015344,-0.6643369468312326,-1.321769395533969,-0.26188878961631745,0.33195306515464584,-0.7959846048649207,1.2833709991848292,17.8,-0.19901475456619794,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.19901475456619777,0.6868575515015344,-0.6643369468312326,-1.321769395533969,-0.26188878961631745,0.33195306515464584,-0.7959846048649207,1.2833709991848292,18.4,-0.19901475456619794,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.19901475456619777,0.6868575515015344,-0.6643369468312326,-1.321769395533969,-0.26188878961631745,0.33195306515464584,-0.7959846048649207,1.2833709991848292,24.1,-0.19901475456619794,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.19901475456619777,0.6868575515015344,-0.6643369468312326,-1.321769395533969,-0.26188878961631745,0.33195306515464584,-0.7959846048649207,1.2833709991848292,26.5,-0.19901475456619794,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.20100272176074316,0.3520491749112746,-1.3347949343273722,-1.2737651178815073,-0.26188878961631745,0.33195306515464584,-0.7959846048649207,1.323476342909355,17.4,-0.2010027217607431,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.7934169457352669,-1.002542513862162,-0.8414390567358732,-0.4256895460213476,-0.6129022999110557,0.33195306515464584,-0.7959846048649207,-0.15039503896697218,16.5,-0.7934169457352669,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.19901475456619777,-1.002542513862162,-0.8414390567358732,-0.4256895460213476,-0.6129022999110557,0.33195306515464584,-0.7959846048649207,-0.15039503896697218,23.7,-0.19901475456619794,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.7934169457352669,-1.0332588786869563,-1.3474450850348465,-0.8817301837197353,-0.8079098056303547,0.33195306515464584,-0.7959846048649207,-0.24063206234715545,16.6,-0.7934169457352669,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.7934169457352669,-1.0332588786869563,-1.3474450850348465,-0.8817301837197353,-0.8079098056303547,0.33195306515464584,-0.7959846048649207,-0.24063206234715545,17.1,-0.7934169457352669,-0.38950550350458973,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
-0.5326065107226267,-0.5329932432498219,0.1800375318924255,0.15792284915459912,0.11835893403988684,0.30753312708403574,0.33195306515464584,0.1162343508028257,0.2205793904848925,16.0,-0.5329932432498219,-0.38950550350458973,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
-0.5326065107226267,-0.5329932432498219,0.1800375318924255,0.15792284915459912,0.11835893403988684,0.30753312708403574,0.33195306515464584,0.1162343508028257,0.2205793904848925,16.0,-0.5329932432498219,-0.38950550350458973,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
-0.5326065107226267,-0.19901475456619777,0.1800375318924255,0.15792284915459912,0.11835893403988684,0.30753312708403574,0.33195306515464584,0.1162343508028257,0.2205793904848925,13.9,-0.19901475456619794,-0.38950550350458973,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
