Model,Maker,Type,Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel,Engine Type,Transmission,Drive,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Emission Type,Tyre Size,Engine Size,Horsepower
Verna,Hyundai,Sedan,5,1493.0,4440,1729,1475,2600,4.0,Diesel,1.5L U2 CRDi,6 MT,2WD,45.0,480.0,25.0,BS VI,195/55 R16,1.493,110
Verna,Hyundai,Sedan,5,1493.0,4440,1729,1475,2600,4.0,Diesel,1.5L U2 CRDi,6 AT,2WD,45.0,480.0,21.3,BS VI,195/55 R16,1.493,110
Verna,Hyundai,Sedan,5,998.0,4440,1729,1475,2600,4.0,Petrol,1.0L Turbo GDi,DCT,2WD,45.0,480.0,19.2,BS VI,195/55 R16,0.998,75
Aura,Hyundai,Compact Sedan,5,1197.0,3995,1680,1520,2450,4.0,Petrol,1.2L Kappa,5 MT,2WD,37.0,402.0,21.0,BS VI,175/60 R15,1.197,110
Aura,Hyundai,Compact Sedan,5,1197.0,3995,1680,1520,2450,4.0,Petrol,1.2L Kappa,AMT,2WD,37.0,402.0,20.0,BS VI,175/60 R15,1.197,110
Aura,Hyundai,Compact Sedan,5,998.0,3995,1680,1520,2450,4.0,Petrol,1.0L Turbo GDi,5 MT,2WD,37.0,402.0,21.0,BS VI,175/60 R15,0.998,75
Aura,Hyundai,Compact Sedan,5,1197.0,3995,1680,1520,2450,4.0,Petrol + CNG,1.2L Bi-Fuel (Petrol with CNG),5 MT,2WD,37.0,402.0,28.0,BS VI,175/60 R15,1.197,110
Tucson,Hyundai,SUV,5,1999.0,4630,1865,1665,2755,4.0,Petrol,Nu 2.0 Petrol,6 AT,2WD,54.0,540.0,,BS VI,235/60 R18,1.999,150
Tucson,Hyundai,SUV,5,1997.0,4630,1865,1665,2755,4.0,Diesel,R 2.0 Diesel,8 AT,2WD,54.0,540.0,12.95,BS VI,235/60 R18,1.997,150
Tucson,Hyundai,SUV,5,1997.0,4630,1865,1665,2755,4.0,Diesel,R 2.0 Diesel,8 AT,4WD,54.0,540.0,16.38,BS VI,235/60 R18,1.997,150
Kona Electric,Hyundai,SUV,5,,4180,1800,1570,2600,,Electric,Permanent magnet synchronous motor (PMSM),,2WD,,332.0,,,215/55 R17,,200
Venue,Hyundai,Compact SUV,5,1197.0,3995,1770,1617,2500,4.0,Petrol,1.2L Kappa,5 MT,2WD,45.0,350.0,17.5,BS VI,195/65 R15,1.197,110
Venue,Hyundai,Compact SUV,5,998.0,3995,1770,1617,2500,4.0,Petrol,1.0L Kappa Turbo GDi,iMT,2WD,45.0,350.0,17.8,BS VI,215/60 R16,0.998,75
Venue,Hyundai,Compact SUV,5,998.0,3995,1770,1617,2500,4.0,Petrol,1.0L Kappa Turbo GDi,7 DCT,2WD,45.0,350.0,18.1,BS VI,215/60 R16,0.998,75
Venue,Hyundai,Compact SUV,5,1493.0,3995,1770,1617,2500,4.0,Diesel,1.5L U2 CRDi,6 MT,2WD,45.0,350.0,23.4,BS VI,215/60 R16,1.493,110
Venue N-Line,Hyundai,Compact SUV,5,1493.0,3995,1770,1617,2500,4.0,Petrol,1.0L Kappa Turbo GDi,7 DCT,2WD,45.0,350.0,18.1,BS VI,215/60 R16,1.493,110
Creta,Hyundai,SUV,5,1497.0,4300,1790,1635,2610,4.0,Petrol,1.5L MPi,IVT,2WD,50.0,433.0,16.76,BS VI,215/60 R17,1.497,110
Creta,Hyundai,SUV,5,1497.0,4300,1790,1635,2610,4.0,Petrol,1.5L MPi,6 MT,2WD,50.0,433.0,16.76,BS VI,215/60 R17,1.497,110
Creta,Hyundai,SUV,5,1353.0,4300,1790,1635,2610,4.0,Petrol,1.4L Kappa Turbo GDi,7 DCT,2WD,50.0,433.0,16.76,BS VI,215/60 R17,1.353,110
Creta,Hyundai,SUV,5,1493.0,4300,1790,1635,2610,4.0,Diesel,1.5L U2 CRDi,6 MT,2WD,50.0,433.0,21.35,BS VI,215/60 R17,1.493,110
