Model,Maker,Type,Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel,Engine Type,Transmission,Drive,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Emission Type,Tyre Size,Engine Size,Horsepower
Scorpio-N,Mahindra,SUV,6,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 MT,2WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
Scorpio-N,Mahindra,SUV,6,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 AT,2WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
Scorpio-N,Mahindra,SUV,7,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 MT,2WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
Scorpio-N,Mahindra,SUV,7,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 AT,2WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
Scorpio-N,Mahindra,SUV,7,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 MT,4WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
Scorpio-N,Mahindra,SUV,7,2000.0,4662,1917,1857,2750,4.0,Diesel,mHawk,6 AT,4WD,57.0,460.0,,BS VI,255/16 R18,2.0,150
Scorpio Classic,Mahindra,SUV,7,2184.0,4456,1820,1995,2680,4.0,Diesel,mHawk,6 MT,2WD,60.0,460.0,,BS VI,235/65 R17,2.184,200
Scorpio Classic,Mahindra,SUV,9,2184.0,4456,1820,1995,2680,4.0,Diesel,mHawk,6 MT,2WD,60.0,460.0,,BS VI,235/65 R17,2.184,200
Marazzo,Mahindra,MPV,7,1497.0,4585,1866,1774,2760,4.0,Diesel,D15,6 MT,2WD,45.0,190.0,17.0,BS VI,215/60 R17,1.497,110
XUV 300,Mahindra,Compact SUV,5,1197.0,3995,1821,1627,2600,3.0,Petrol,Turbo Petrol,6 MT,2WD,42.0,257.0,17.0,BS VI,205/65 R16,1.197,110
XUV 300,Mahindra,Compact SUV,5,1197.0,3995,1821,1627,2600,3.0,Petrol,Turbo Petrol,6 AT,2WD,42.0,257.0,17.0,BS VI,205/65 R16,1.197,110
XUV 300,Mahindra,Compact SUV,5,1497.0,3995,1821,1627,2600,4.0,Diesel,Turbo Diesel,6 MT,2WD,42.0,257.0,20.0,BS VI,205/65 R16,1.497,110
XUV 300,Mahindra,Compact SUV,5,1497.0,3995,1821,1627,2600,4.0,Diesel,Turbo Diesel,6 AT,2WD,42.0,257.0,17.5,BS VI,205/65 R16,1.497,110
XUV 700,Mahindra,SUV,5,2000.0,4695,1890,1755,2750,4.0,Petrol,mStallion,6 MT,2WD,60.0,,,BS VI,235/60 R18,2.0,150
XUV 700,Mahindra,SUV,7,2000.0,4695,1890,1755,2750,4.0,Petrol,mStallion,6 MT,2WD,60.0,,,BS VI,235/60 R18,2.0,150
XUV 700,Mahindra,SUV,5,2000.0,4695,1890,1755,2750,4.0,Petrol,mStallion,6 AT,2WD,60.0,,,BS VI,235/60 R18,2.0,150
